A	B	C
300	337361.43072	476952.88946
301	179859.3028	288933.29864
302	96206.43315	156474.99481
303	58739.92288	86124.45476
304	49460.52493	50096.03303
305	48673.23035	43026.15948
306	51010.60731	43854.76871
307	55388.11214	46053.97105
308	58526.18766	49667.61114
309	65101.8509	53039.18844
310	67767.48246	59873.84138
311	75175.84837	63501.03993
312	80894.77069	67871.54628
313	86164.80195	74413.65578
314	90410.693	77853.51964
315	95500.83282	84604.039
316	102551.38201	90438.13179
317	107721.90965	96464.39079
318	115070.08554	103253.2709
319	126746.96548	111373.49035
320	133948.01163	118306.24503
321	149146.35446	133834.38002
322	161118.97304	146688.69492
323	178735.81122	161241.56263
324	196610.75419	180935.07463
325	214609.8606	195094.16272
326	226586.5203	214161.16128
327	236320.14557	227396.5882
328	245223.68799	232720.9664
329	244331.46106	237863.47958
330	236418.50906	234081.54441
331	228611.84869	227186.0804
332	219752.10209	214865.4398
333	204792.11516	204785.19784
334	196480.76969	197298.06569
335	191941.10921	192548.77859
336	187179.48271	187020.11282
337	183357.79823	185964.98622
338	183012.93952	184485.34014
339	183630.8767	182522.34761
340	179652.3491	181785.37451
341	178514.33742	180946.02364
342	176801.02296	182064.51473
343	175628.46072	179744.45782
344	175309.19667	179171.05481
345	176330.82948	175293.78832
346	173851.56855	174798.64108
347	172644.00563	169406.2623
348	167437.83134	172741.19686
349	167144.75207	169972.31065
350	163099.14074	166349.7031
351	159674.41432	165002.71941
352	160298.79209	159308.606
353	158931.68769	157250.50484
354	151036.21063	158091.88418
355	146879.40021	153298.54799
356	148206.67998	151242.892
357	146001.91057	146196.98787
358	142293.09643	143988.7385
359	138170.33856	141760.08802
360	134762.95419	138332.72824
361	133469.25043	133531.17644
362	128464.30643	126907.50982
363	117963.39974	123185.78371
364	119593.81959	120766.25282
365	113007.32079	121115.61812
366	111956.15529	115061.44813
367	107551.12968	113783.00455
368	104883.87068	109841.57068
369	103154.06669	105790.3949
370	99739.82702	100619.63824
371	95843.67219	98950.45716
372	93421.99849	97579.01965
373	88340.92215	91462.1755
374	86556.7179	88074.32655
375	84756.84238	85819.60386
376	78793.56601	81505.49522
377	76375.66498	79576.69214
378	73317.9822	75474.27159
379	70417.35332	73855.40371
380	68677.93959	68731.63256
381	66343.04654	67260.25581
382	63747.94965	67068.4579
383	62846.7422	62575.62971
384	58843.54609	60834.30008
385	56739.71914	58124.04168
386	55707.57688	56968.66365
387	52784.54623	53543.67347
388	49949.70332	51588.49822
389	51003.23586	49378.07008
390	47629.02933	48274.90556
391	44217.98308	45350.016
392	43431.03313	43536.16828
393	41926.99055	42931.53993
394	41201.71077	40761.30561
395	38540.59011	39375.7591
396	37516.07104	39714.28836
397	37516.46773	36772.72202
398	33835.74597	35320.31847
399	33259.57696	33071.37911
400	32201.99809	32836.73612
401	30400.08764	30790.71188
402	29268.49965	30241.99449
403	29346.16494	29195.67944
404	27364.17655	27554.70121
405	26653.71145	26960.72481
406	25616.35148	26026.48232
407	24853.37184	25710.22708
408	24121.54596	24170.24337
409	23474.58736	23468.0406
410	23203.28811	22954.72455
411	22486.13386	21533.42376
412	20972.439	22017.24286
413	19954.8939	21087.68924
414	18816.9868	20031.28606
415	18746.92486	19769.87822
416	18021.66549	18164.21657
417	17700.40097	18601.0592
418	16507.9628	17270.58339
419	16927.77809	16666.31486
420	17681.55903	16180.72613
421	15696.14126	16337.42743
422	15254.12787	16016.62327
423	14975.01751	15343.32035
424	15112.2287	15362.17695
425	14157.70548	14577.99449
426	13371.81963	13814.72927
427	13985.63249	13552.90973
428	12867.31928	13470.16757
429	12399.13482	13195.98067
430	12489.48266	11933.62088
431	12523.7208	12274.96889
432	11936.01676	11875.544
433	11765.22797	11820.75709
434	11680.64262	11319.29271
435	11817.07901	10839.0194
436	10733.43395	10536.43429
437	10971.27541	11319.32506
438	10428.35536	10364.4927
439	9766.58702	10625.80474
440	10340.41546	9581.61129
441	9450.38173	9596.91795
442	10034.45466	8916.70244
443	9970.41881	9203.05313
444	9286.40628	9217.44954
445	8760.23144	9314.93352
446	8962.21677	8781.03011
447	9036.21719	8896.4161
448	8405.53386	9336.59956
449	8277.21221	9090.00507
450	9037.95512	8110.78484
