A	B	C
300	357857.94154	524576.33601
301	181742.54901	300965.93861
302	86185.7622	149224.73097
303	44838.47647	74166.866
304	31181.4353	36108.87034
305	29018.57788	27823.39004
306	30322.63574	25529.02526
307	29152.76651	25238.08429
308	30041.65106	25673.5222
309	30191.16333	26650.752
310	32223.41395	27856.4336
311	32308.32373	28552.77199
312	34150.04759	28785.62367
313	36675.05589	31790.40098
314	36906.34812	32605.6674
315	39439.07096	33816.83567
316	41182.63497	35762.17415
317	43400.63271	37521.69292
318	47094.83098	39038.06606
319	49112.86436	43150.21379
320	55857.15187	49347.05106
321	64687.79345	57551.12069
322	77190.28116	68248.61337
323	90629.36011	79115.82524
324	106493.73394	92953.70235
325	118443.21524	106949.49031
326	132632.16369	120798.48226
327	138807.88559	128092.13889
328	140153.57699	132439.96953
329	138791.01841	133014.80741
330	127961.1696	124087.0046
331	117658.27468	117533.85422
332	107309.59536	108507.71836
333	96254.85527	94929.11689
334	85314.43763	84632.60847
335	78849.16077	80040.62805
336	73136.6333	73216.2512
337	68942.20008	69718.47766
338	67810.8437	66961.44788
339	66984.19932	68624.45263
340	66454.13652	65493.15535
341	66987.58376	66200.07955
342	65738.74203	65394.59783
343	65902.418	66095.39205
344	64377.22526	64618.19737
345	64569.51956	62220.95323
346	62997.21771	63042.07033
347	61510.06338	63882.09269
348	62233.3154	62273.23803
349	60465.24423	61422.86124
350	60966.58628	60724.5924
351	60353.49262	59570.65822
352	59490.7553	56862.25894
353	61034.59091	58105.6561
354	56352.92836	56660.84867
355	56469.31385	56019.94944
356	53233.13194	56091.85467
357	54179.41054	55439.17564
358	53169.93369	53543.1937
359	52713.21524	52087.10553
360	50023.48022	52213.51022
361	50139.94471	50898.23355
362	49095.11425	49219.0332
363	47947.54979	47733.91436
364	46944.64447	48108.90891
365	45434.42502	46089.01718
366	45076.95398	43826.31607
367	43617.24508	45738.40349
368	42837.55153	43627.97177
369	42000.49915	41164.61404
370	40975.7947	41490.57671
371	38103.83516	39765.37563
372	39449.09713	38597.65773
373	37001.65583	38338.40809
374	37096.55292	37858.60907
375	35135.26883	35110.66269
376	35026.89094	36656.10966
377	32813.02811	33805.13131
378	32236.94348	33611.15399
379	31359.91331	32005.26971
380	31165.19554	31799.85462
381	29690.46179	31699.49639
382	29215.2667	30057.46095
383	28718.01775	29744.39576
384	28007.18032	27599.72839
385	26849.08377	28024.22945
386	26847.66426	27295.55546
387	26313.70318	26570.82076
388	25894.53433	25525.63083
389	24875.95108	25017.43133
390	24470.49661	25229.65262
391	24066.58713	24081.82525
392	23697.60078	23656.55
393	22797.58029	22700.27484
394	22162.32055	22850.37269
395	21786.37557	22805.97013
396	20787.06121	22133.67445
397	20629.91977	19821.9533
398	20078.76404	19467.63098
399	19063.58088	20487.95783
400	19415.03962	18663.18466
401	19651.47855	19593.11881
402	18051.29795	18049.96258
403	17472.22022	18221.62957
404	17482.738	18359.02461
405	17931.31029	17261.19981
406	16652.58498	17367.14372
407	16575.70982	17747.45711
408	16245.52194	16869.51826
409	16064.49445	16418.78608
410	15935.78921	16289.14853
411	16135.48376	16556.46077
412	14954.17835	15512.10734
413	14332.01926	14642.99834
414	15417.79395	15242.14211
415	15031.88248	14524.52158
416	14664.44153	14368.58753
417	13789.77327	14143.1772
418	13071.53017	13883.06329
419	13418.06625	13831.25519
420	14005.63426	13913.16477
421	13520.51684	13092.14359
422	13146.48562	13231.13629
423	13093.14702	13127.16657
424	12639.4238	12679.37488
425	12162.13656	13156.615
426	12605.8668	12798.91773
427	11827.385	12535.07493
428	11648.0404	12299.40587
429	11306.89872	11507.26944
430	11417.81225	11711.54067
431	11897.3332	11441.6339
432	11059.61064	11207.37704
433	11314.43164	11259.06233
434	10784.487	10446.57502
435	11381.17442	10882.28655
436	10021.69722	11083.26033
437	10482.82312	10340.41478
438	10397.78115	10037.97166
439	10332.97394	10739.30106
440	10584.74389	9679.66231
441	9917.47825	9989.7262
442	9936.751	10201.24337
443	10374.78133	10044.69087
444	9827.91988	9840.20992
445	9543.59769	10311.166
446	8914.2148	9412.28616
447	9638.11429	9224.48218
448	8771.73725	9587.75197
449	9010.28603	9539.48253
450	9225.92352	9090.77595
