A	B	C
300	282893.73802	433866.17368
301	149913.71965	257169.83323
302	69924.46073	134799.54153
303	33297.43201	65297.85359
304	21751.86257	30179.67307
305	18091.16777	19104.0775
306	17556.90844	16267.69568
307	16614.17598	15166.6301
308	15849.7309	14461.37633
309	15250.56673	13304.09969
310	14405.89174	12562.5406
311	13863.23747	13163.38295
312	13358.85745	12997.59747
313	13635.73001	12021.81729
314	13621.14342	12480.4518
315	13630.51307	13146.21316
316	14013.27645	12919.36145
317	14617.19796	12491.48845
318	15912.5072	13754.71118
319	18498.63688	16736.95851
320	22796.0038	18803.60624
321	30732.42858	25621.94637
322	40305.71077	33631.20515
323	50572.43269	42064.70979
324	67450.85902	56170.07927
325	77036.62304	67683.84264
326	88755.26419	79512.46292
327	95270.2999	88169.39207
328	98933.89167	92986.88542
329	93766.80707	91094.75375
330	82312.31954	80313.35652
331	72154.18281	72971.00896
332	58284.47084	60226.61708
333	46264.81335	48591.94219
334	35656.47096	39663.54649
335	28373.94103	31485.14757
336	23402.5339	23267.06389
337	19345.67137	19563.10452
338	17239.20988	17480.43886
339	16216.27174	16668.02391
340	15803.7112	15836.06531
341	14465.43071	14888.96969
342	15097.85274	14240.0822
343	14725.69951	14183.43456
344	14079.13101	14301.19626
345	14679.51417	14476.42865
346	14308.02803	14165.64681
347	14411.62201	14255.55339
348	14095.42795	14097.94974
349	13353.86784	12990.31364
350	13557.24261	13590.593
351	14143.85991	13842.66665
352	13636.63803	13817.66519
353	12767.15182	13746.16384
354	13357.40189	13175.01893
355	13927.34428	12821.68752
356	12546.94248	13317.54543
357	13834.14341	12707.2444
358	12996.14221	13649.92595
359	12613.27603	12887.73824
360	13511.28703	12387.29975
361	13915.86752	12957.31601
362	12828.00613	12797.52304
363	12894.91433	12809.59438
364	12546.13319	12303.43633
365	12954.97233	12399.33434
366	12489.9288	12963.74033
367	13255.29335	12753.39595
368	12766.43237	12472.5328
369	12579.12393	13035.7204
370	12474.4508	12725.64173
371	12063.91882	12357.39423
372	12532.90305	12431.00188
373	11959.88028	11373.56408
374	12025.9893	11667.7335
375	13034.58341	12142.94596
376	11961.33376	11546.40137
377	11752.53807	12063.65035
378	11578.75536	11667.95486
379	11610.11623	11761.70559
380	12039.3146	11544.59121
381	11858.16992	11518.51793
382	12006.06802	11101.24706
383	11699.4235	11361.60702
384	11757.61822	10965.95721
385	11333.96672	11519.94436
386	11366.75942	11294.73978
387	11268.82618	11109.9231
388	12118.49062	11421.3552
389	11411.05986	11556.15114
390	11001.15675	11253.35199
391	11116.92651	11703.01038
392	10707.95524	11460.19656
393	11127.69624	11209.51948
394	10904.45438	11039.31169
395	10860.11742	10286.05857
396	11211.02415	11092.768
397	11542.17029	11374.70983
398	10659.29339	10366.22465
399	10806.89468	10965.7986
400	11246.95191	10185.15668
401	10881.01723	10780.70667
402	10888.86773	10007.6223
403	10214.05421	10778.06849
404	10353.9525	10485.49963
405	10365.05792	10559.12454
406	10142.82623	10354.1781
407	10460.357	9790.10573
408	10560.95769	10222.26099
409	10199.66362	10062.08375
410	10488.06225	9994.79475
411	10444.92742	9226.36503
412	10123.37636	9503.65203
413	9632.69981	10161.22464
414	9995.19064	9633.29165
415	9212.93769	9860.63415
416	9434.22523	9228.14576
417	9793.10755	9640.16819
418	9895.00954	9690.25927
419	9036.90002	9498.86053
420	9734.2089	9449.28717
421	9119.80348	9589.32045
422	9406.53975	8475.7246
423	8667.8571	8511.578
424	8842.2235	8305.75757
425	8884.16693	8625.50808
426	8927.86216	8573.37721
427	9160.34629	8851.266
428	8715.54381	8163.78015
429	8522.03494	8713.98296
430	8547.78056	8966.01346
431	8674.08066	8061.26654
432	8111.99606	7736.90437
433	7946.50781	8310.08159
434	8351.10864	8291.84265
435	8014.85711	7844.0973
436	7686.92504	8162.58361
437	7330.15701	7870.19655
438	7893.774	6994.68823
439	7656.52533	7928.27685
440	7724.48772	7478.5125
441	8205.73762	7499.40047
442	7445.54365	6897.78134
443	7466.2473	7607.79074
444	7067.24867	6693.65674
445	7470.53606	6589.12386
446	6984.18952	6792.53658
447	7147.94506	6496.7107
448	7312.3558	6998.70912
449	7259.7011	7129.3138
450	7305.86674	6713.66746
