A	B	C
300	847767.19333	854970.90027
301	434986.06068	506474.89024
302	211690.01136	285058.94813
303	120618.17898	158706.84779
304	99453.89119	96947.81802
305	102339.89422	85254.77022
306	111589.11575	90397.49279
307	121784.13344	96821.7118
308	129038.27965	107270.06402
309	142426.81512	117421.79665
310	154356.75892	127952.11572
311	166162.72847	134942.9907
312	175242.48726	148722.12582
313	190550.41539	163922.9675
314	201969.20396	174163.22268
315	214704.77377	185514.68278
316	232900.38928	201576.04383
317	245253.88625	215296.9115
318	260165.44702	230162.70318
319	273716.01909	247864.01073
320	296155.9027	266367.28598
321	311842.4968	285054.16993
322	335386.58129	309812.67951
323	362764.70512	330753.60367
324	387149.4618	363191.65615
325	407450.07863	383102.68911
326	431825.6973	400068.83303
327	445498.58865	424593.35972
328	460967.92351	436073.08338
329	455924.13139	440099.67491
330	453552.30956	444070.35448
331	454433.61791	447223.9685
332	441811.79601	438306.6589
333	436823.53744	429615.45135
334	432497.61874	428497.99022
335	426815.16964	426665.09705
336	422981.74122	417780.78308
337	424624.44855	418833.93486
338	422577.01681	421321.97587
339	418574.53419	424061.68847
340	417200.12615	413950.10247
341	411551.62769	409018.97132
342	411018.88699	408752.64579
343	410173.84581	409411.36889
344	405042.90544	407708.95403
345	401797.94392	403428.07787
346	397640.72547	401021.46692
347	397619.4509	398253.40102
348	385635.17597	389913.18498
349	378880.61228	387965.11674
350	380196.44567	381757.56868
351	370814.56371	375816.42651
352	367833.33858	369758.54319
353	355570.82736	362747.76673
354	345493.61269	346803.58118
355	345891.51333	351563.45476
356	333453.15279	342650.9486
357	327203.09941	329110.55664
358	318735.61731	326065.89948
359	305481.38396	318818.96871
360	302796.01678	305333.35856
361	295647.25863	304327.73915
362	290811.94811	294631.53847
363	274340.28801	282509.92413
364	268698.90694	280601.53821
365	259428.5276	268826.83167
366	251154.94101	263480.50133
367	242142.50342	250394.60228
368	238638.30674	246424.8751
369	230282.45267	235542.53137
370	220275.91014	225553.45122
371	216316.44912	223575.052
372	205112.44337	212411.05274
373	196492.07193	202685.94513
374	192227.02439	199812.10746
375	187332.11856	188811.2944
376	172319.41794	179859.52138
377	167620.02644	172824.26789
378	162204.73513	167039.58347
379	155845.30135	160981.70413
380	148051.74482	152495.75745
381	143894.62677	150668.73174
382	138455.44532	141140.85189
383	133051.92093	133232.50459
384	128114.48824	130593.03071
385	121771.08608	126843.17342
386	115359.04431	116057.15637
387	110987.18521	115102.61195
388	109501.93243	111802.02199
389	101239.4163	104845.90177
390	99576.34091	100789.80795
391	95514.38905	96813.43668
392	91833.6652	92467.13646
393	86476.27639	86623.44916
394	83005.85322	84244.91723
395	81274.31066	80488.05541
396	75905.86226	76429.88897
397	72101.86859	74175.94937
398	68792.02356	71624.25706
399	65430.94089	67752.56087
400	62363.6775	64281.18505
401	61663.34743	61928.44011
402	57852.6185	59306.49859
403	54094.08381	55554.1506
404	52347.62512	54108.74836
405	51332.2189	52472.49437
406	49760.55399	49587.90415
407	45900.4713	46874.65743
408	44487.79791	45226.91027
409	43781.02409	43385.95672
410	41509.99461	41772.70737
411	39754.89827	40646.72951
412	38436.08089	38795.45816
413	35776.59824	37184.98067
414	35197.59738	34836.79822
415	33976.91258	34929.95239
416	32747.51724	32756.45824
417	31113.40492	32378.57893
418	29245.50304	29553.93779
419	28529.60824	29114.07067
420	27132.97491	28096.11081
421	26562.52478	26691.2582
422	25570.02771	25821.38539
423	23444.8124	24432.22477
424	23937.76812	23992.45348
425	22387.00143	23213.06354
426	22533.38831	22292.86607
427	20715.02325	21269.3317
428	20591.27512	20879.22537
429	20517.00095	20019.71811
430	19543.17623	19460.27241
431	19195.31035	18346.26812
432	18578.12654	17856.9804
433	17680.33424	17586.64371
434	17122.44619	17259.1264
435	16642.1425	16541.35904
436	16656.26206	15862.5911
437	15067.28044	15047.61977
438	14980.33374	14587.67298
439	14821.96376	14337.45703
440	14523.29829	13577.61944
441	13669.42951	13940.60935
442	12871.63999	12943.31005
443	13344.02507	12828.08847
444	12418.80841	12137.17785
445	13126.04622	12452.1521
446	12352.85223	11937.20755
447	11999.97017	11797.84904
448	12127.87051	11643.95055
449	11646.93321	11368.68746
450	11074.06058	10409.35983
